schoolGP0MS2,sexF0M1,age,addressR0U1,famsizeLE30GT31,PstatusA0T1,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
0,0,18,1,1,0,4,4,at_home,teacher,course,mother,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,6
0,0,17,1,1,1,1,1,at_home,other,course,father,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,6
0,0,15,1,0,1,1,1,at_home,other,other,mother,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,10
0,0,15,1,1,1,4,2,health,services,home,mother,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15
0,0,16,1,1,1,3,3,other,other,home,father,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,10
0,1,16,1,0,1,4,3,services,other,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15
0,1,16,1,0,1,2,2,other,other,home,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,11
0,0,17,1,1,0,4,4,other,teacher,home,mother,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6
0,1,15,1,0,0,3,2,services,other,home,mother,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,19
0,1,15,1,1,1,3,4,other,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,15
0,0,15,1,1,1,4,4,teacher,health,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,9
0,0,15,1,1,1,2,1,services,other,reputation,father,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,12
0,1,15,1,0,1,4,4,health,services,course,father,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14
0,1,15,1,1,1,4,3,teacher,other,course,mother,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,11
0,1,15,1,1,0,2,2,other,other,home,other,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,16
0,0,16,1,1,1,4,4,health,other,home,mother,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14
0,0,16,1,1,1,4,4,services,services,reputation,mother,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,14
0,0,16,1,1,1,3,3,other,other,reputation,mother,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,10
0,1,17,1,1,1,3,2,services,services,course,mother,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,5
0,1,16,1,0,1,4,3,health,other,home,father,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,10
0,1,15,1,1,1,4,3,teacher,other,reputation,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,15
0,1,15,1,1,1,4,4,health,health,other,father,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,15
0,1,16,1,0,1,4,2,teacher,other,course,mother,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,16
0,1,16,1,0,1,2,2,other,other,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,12
0,0,15,0,1,1,2,4,services,health,course,mother,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,8
0,0,16,1,1,1,2,2,services,services,home,mother,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,8
0,1,15,1,1,1,2,2,other,other,home,mother,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,11
0,1,15,1,1,1,4,2,health,services,other,mother,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15
0,1,16,1,0,0,3,4,services,other,home,mother,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11
0,1,16,1,1,1,4,4,teacher,teacher,home,mother,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,11
0,1,15,1,1,1,4,4,health,services,home,mother,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,12
0,1,15,1,1,1,4,4,services,services,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17
0,1,15,0,1,1,4,3,teacher,at_home,course,mother,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,16
0,1,15,1,0,1,3,3,other,other,course,mother,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,12
0,1,16,1,1,1,3,2,other,other,home,mother,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,15
